2021-09-09 16:32:40 strips_hgn.utils.logging_setup INFO     Writing logs to /home/mat/Doctorado/planning_learned_heuristic/shen_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-09T16:32:40.681855/strips_hgn.log
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    35 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    258 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities3-planes2-people5-7306.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    17 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities3-planes2-people5
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities3-planes2-people5
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    45 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    294 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities3-planes3-people3-1826.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    16 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities3-planes3-people3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 6 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities3-planes3-people3
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    48 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    387 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities3-planes3-people5-4582.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    18 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities3-planes3-people5
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities3-planes3-people5
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    60 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    441 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/gripper/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/gripper/problems/gripper-n1.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    7 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    3 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: gripper-1
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: gripper-1
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    8 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    10 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/gripper/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/gripper/problems/gripper-n2.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    7 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    3 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    6 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: gripper-2
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: gripper-2
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    12 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    18 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/gripper/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/gripper/problems/gripper-n3.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    7 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    3 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    7 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: gripper-3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: gripper-3
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    16 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    26 Operators created
2021-09-09 16:32:40 strips_hgn.planning.utils INFO     Generated 23 STRIPS Problems
2021-09-09 16:32:40 strips_hgn.utils.timer INFO     Timer GenerateSTRIPSProblemsTime stopped. Accumulated time: 0.22838s.
2021-09-09 16:32:40 strips_hgn.workflows.training_data INFO     Max number of EFF+ (receivers) = 3
2021-09-09 16:32:40 strips_hgn.workflows.training_data INFO     Max number of PREs (senders) = 3
2021-09-09 16:32:40 root         DEBUG    processed args: Namespace(alias=None, build='release', cleanup=False, components=['translate', 'search'], debug=False, filenames=['../benchmarks/blocks-slaney/domain.pddl', '../benchmarks/blocks-slaney/blocks4/task01.pddl'], keep_sas_file=False, log_level='info', overall_memory_limit=None, overall_time_limit=None, plan_file='sas_plan', planner_args=['../benchmarks/blocks-slaney/domain.pddl', '../benchmarks/blocks-slaney/blocks4/task01.pddl', '--search', 'astar(lmcut(), max_time=120)'], portfolio=None, portfolio_bound=None, portfolio_single_plan=False, run_all=False, sas_file='output.sas', search=False, search_input='output.sas', search_memory_limit=None, search_options=['--search', 'astar(lmcut(), max_time=120)'], search_time_limit=None, show_aliases=False, translate=False, translate_inputs=['../benchmarks/blocks-slaney/domain.pddl', '../benchmarks/blocks-slaney/blocks4/task01.pddl'], translate_memory_limit=None, translate_options=['--sas-file', 'output.sas'], translate_time_limit=None, validate=False, validate_memory_limit=None, validate_time_limit=None, version=False)
2021-09-09 16:32:40 root         INFO     Running translator.
2021-09-09 16:32:40 root         INFO     translator stdin: None
2021-09-09 16:32:40 root         INFO     translator time limit: None
2021-09-09 16:32:40 root         INFO     translator memory limit: None
